"(Intercept)" "M_chirp" "I(M_chirp^2)" "I(R_1.6 * M_chirp)" "I(R_1.6 * M_chirp^2)" "I(R_1.6^2 * M_chirp)"
1.66769964362079 8.74205357217063 1.4478335646051 -1.09349777991869 -0.0523939687362902 0.031988440356213
2.47089290387721 6.77498126786103 5.10205057637125 -1.2905092464029 -0.284735639374574 0.0502143314106916
1.79669098251215 7.42923632293452 2.74224979689772 -1.04711440396005 -0.143326338132156 0.0347051274571586
1.64586123538272 6.85101486730784 3.20850915564981 -0.987549800894721 -0.18243331655432 0.0345270704827563
1.97496388459285 7.99408618637012 3.43015065676349 -1.23097019228827 -0.183942027033368 0.0434490798957583
0.951928580433801 8.08439483367271 0.963531313100915 -0.827069158212912 -0.0494259408220092 0.0221293423761143
1.55154358389773 7.56369702285367 3.24374661540429 -1.05541800795325 -0.192860078400921 0.0368341028992657
1.87892774566647 7.62269996652388 3.7811202671983 -1.2090264279137 -0.209633509767636 0.0441732192912763
1.25295760144666 9.50196313405123 2.53917191074602 -1.26009915318492 -0.147747432759734 0.0432730590155732
2.68839798314262 7.10152579438924 4.94616692390708 -1.38135734254468 -0.258591949858361 0.0528077969881913
1.54818683285849 6.41808476375703 2.21223535159211 -0.803221181536437 -0.114801620651186 0.0243211490383271
1.23751660108567 8.72864252068407 2.47551469237383 -1.12575546040248 -0.146678589773062 0.0380494730106078
2.16832221626674 6.75406181583295 4.19138108538362 -1.16023058011409 -0.231020845263559 0.0433697422810679
1.09412252300502 9.4160180870181 1.58474134411147 -1.12667701375985 -0.0922106408761508 0.0360371507726258
1.58737868355989 7.30117929951694 2.46566054660334 -0.968619160611526 -0.136500871577975 0.0318495955039955
0.834710446965377 12.313674103988 0.536304925311374 -1.40862095794037 -0.0253007470235625 0.0430781757001193
1.12173739348133 10.7761183594802 1.35188066184089 -1.29726674887418 -0.0742528839462905 0.0410364062799835
1.67202267310096 6.82987410331443 2.83392103168184 -0.957037715230762 -0.15532809709001 0.0324123371136528
1.936626525767 6.66319620514664 4.16379740997178 -1.09908490674458 -0.240537641525782 0.0413898574503431
0.684277799620623 10.9539381841097 0.568831608636149 -1.18192625813948 -0.0322153115773355 0.0349159303852917
1.58110010665564 10.2855347964589 1.51974765197536 -1.32246482554977 -0.0692134840661458 0.0418929918295585
0.106910731040474 10.7990045533374 -0.108265358301188 -0.985252580802922 -0.0125326743502439 0.0266241660751295
2.71431824422334 3.10901100595393 4.61405110387279 -0.729801580264665 -0.240474810361505 0.0271238886671525
1.90114502804621 7.82978199729092 1.90930443721253 -1.04038443355067 -0.0789392808134606 0.0312504513720897
2.05998431867774 8.23640643333736 4.11002907646352 -1.35539483209307 -0.232597305853045 0.0508129999514842
1.40839634784329 6.95387327291088 3.53267957091176 -0.973845466402302 -0.218843719550785 0.0351743681622721
2.29793781350176 6.47673902800766 3.29067098052381 -1.04687432487961 -0.158529436509583 0.0353857609195909
1.15328748029237 10.3804891795174 1.59309927983542 -1.2589120081412 -0.081177832521387 0.0391368021451258
0.79408257440466 8.75117853053525 1.49875299107738 -0.948822290212605 -0.0943900857617953 0.0286741639862439
1.28901456948605 9.58128223807937 1.92176397872237 -1.20071128566631 -0.102769017395793 0.0384935632649302
1.68628128407166 9.11608294292173 3.32950695949451 -1.33408091282958 -0.198046984180352 0.0482605939780871
1.01745217050001 10.5900892907305 1.10031892580421 -1.23719661157118 -0.058351180274206 0.0382906192897655
1.94117468004396 9.68285482807277 3.55706992222383 -1.49577366044887 -0.194554135119402 0.054033708935844
-0.0222501121953278 11.1382937832662 0.298516290916263 -1.04625362285084 -0.0475392555588192 0.0302896797175716
1.50311788729284 8.44994525115248 2.68644809348335 -1.15140370926586 -0.148230902523547 0.0389431338684933
0.811324352070977 9.84229238098875 1.75409541838947 -1.13883723144726 -0.112661441630169 0.0365663025694655
1.16728863911469 9.73404894144046 1.06911891739716 -1.12039755341059 -0.0433195134889269 0.0325282931389777
1.40601933286188 7.38921284298391 2.12298355593795 -0.913136011483542 -0.117601071738401 0.0286850706991136
2.83780331369548 5.39332862194457 4.96043778632894 -1.13139335137387 -0.256403034555197 0.0428041236168712
2.17437999215821 6.9867221943971 3.3772480997613 -1.11269550754293 -0.175369484805023 0.0389526244080399
1.30721130018504 7.8111786996177 3.08978059527473 -1.0589181354917 -0.1920894259691 0.0377912844820646
1.16437763188463 8.56518088737993 2.69641718298764 -1.1030713897868 -0.167342492066982 0.0380348673513621
1.03680836785189 9.12990191453808 2.04195141224653 -1.11069169243495 -0.13040498847092 0.0371573554604705
0.916994431750179 7.81011636488023 3.30304064116123 -1.00665529601611 -0.217323344156358 0.0365644123574558
1.84081366694528 6.1460472041923 2.76787282736126 -0.878407010793277 -0.141992975769256 0.0288303976032351
1.18207238460163 9.4343084676308 1.42608734852523 -1.12758676439378 -0.0703083594845662 0.0346968341087587
1.99116769833045 7.34716387138091 3.22440064969108 -1.1099456669615 -0.168243087698433 0.0379566846340965
3.28722399337973 5.08493835845871 3.63950524986147 -1.05776718213094 -0.139848568085682 0.0352760588655267
1.13999778366845 10.1287443140806 1.77980885155022 -1.25057558442534 -0.101377109895962 0.0405802534527206
2.06717597347299 5.86088633369896 2.93786607526342 -0.869863211623624 -0.143196807917301 0.0276718066248779
2.01968197360564 6.61356247268697 2.34425314527267 -0.912781378277206 -0.10390701491382 0.0273937870855607
1.27279728775599 11.5049434966036 0.593515411111494 -1.35462573549039 -0.0108253986943146 0.0399665296277753
0.506008533194831 8.96598154184872 -0.0345598745074045 -0.788886597116536 0.00348144883351739 0.0183516077932795
0.873891464677819 11.1280108752804 0.41798087820279 -1.20673282094651 -0.0151807949595055 0.0344032795632097
0.819394635016907 9.20349237700062 1.24396548250026 -0.998386975760546 -0.0756329448435885 0.0296838361082439
0.525717482875979 9.20881609858672 0.675349098925419 -0.882543423864066 -0.0540568998442714 0.0243652713412597
2.35597851909999 4.43694931510809 2.28770891141016 -0.656922360954535 -0.0825519697889885 0.0173222386327116
2.06258719552839 5.46714854824096 3.75964722751006 -0.902425642451558 -0.197769105314478 0.0316975639747918
1.1427763542946 10.1683390247612 1.3610584826714 -1.21687888082513 -0.0765934153193948 0.0384824983257575
0.806639651705379 9.08986178153055 0.786338978999032 -0.938891326032658 -0.0405584182988008 0.0259235072223355
1.42889693800822 9.18863674355922 1.61048690878622 -1.13911809886347 -0.0770191214813279 0.0351603339539297
