file,fpeak,q,m1,m2
sfhx_mtot2times1.0000_q0.7000_id2poles.dat,2608.379372093103,0.7,0.8235294117647058,1.1764705882352942
sfhx_mtot2times1.0200_q0.7000_id2poles.dat,2624.536773576288,0.7,0.84,1.2
sfhx_mtot2times1.0400_q0.7000_id2poles.dat,2470.607544855491,0.7,0.8564705882352941,1.223529411764706
sfhx_mtot2times1.0600_q0.7000_id2poles.dat,2675.8816434417226,0.7,0.8729411764705882,1.2470588235294118
sfhx_mtot2times1.0800_q0.7000_id2poles.dat,2470.817827223766,0.7,0.8894117647058823,1.2705882352941178
sfhx_mtot2times1.1000_q0.7000_id2poles.dat,2693.832656628911,0.7,0.9058823529411765,1.2941176470588236
sfhx_mtot2times1.1200_q0.7000_id2poles.dat,2716.4153394210985,0.7,0.9223529411764706,1.3176470588235296
sfhx_mtot2times1.1400_q0.7000_id2poles.dat,2749.1448862638854,0.7,0.9388235294117645,1.3411764705882352
sfhx_mtot2times1.1600_q0.7000_id2poles.dat,2765.492939610263,0.7,0.9552941176470586,1.3647058823529412
sfhx_mtot2times1.1800_q0.7000_id2poles.dat,2803.64224278935,0.7,0.9717647058823528,1.388235294117647
sfhx_mtot2times1.2000_q0.7000_id2poles.dat,2663.6012421515675,0.7,0.9882352941176469,1.411764705882353
sfhx_mtot2times1.2200_q0.7000_id2poles.dat,2738.3851825771376,0.7,1.0047058823529411,1.4352941176470588
sfhx_mtot2times1.2400_q0.7000_id2poles.dat,2701.8766923751796,0.7,1.0211764705882351,1.4588235294117646
sfhx_mtot2times1.2600_q0.7000_id2poles.dat,2736.049274377379,0.7,1.0376470588235294,1.4823529411764707
sfhx_mtot2times1.2800_q0.7000_id2poles.dat,2827.9401738327783,0.7,1.0541176470588234,1.5058823529411764
sfhx_mtot2times1.3000_q0.7000_id2poles.dat,2826.008025793607,0.7,1.0705882352941176,1.5294117647058825
sfhx_mtot2times1.3200_q0.7000_id2poles.dat,2871.930603653721,0.7,1.0870588235294116,1.5529411764705883
sfhx_mtot2times1.3400_q0.7000_id2poles.dat,2943.6394159462743,0.7,1.1035294117647059,1.5764705882352943
sfhx_mtot2times1.3600_q0.7000_id2poles.dat,2991.147619904654,0.7,1.1199999999999999,1.6
sfhx_mtot2times1.3800_q0.7000_id2poles.dat,3044.0292542282286,0.7,1.136470588235294,1.6235294117647059
sfhx_mtot2times1.4000_q0.7000_id2poles.dat,3118.167425940615,0.7,1.1529411764705881,1.6470588235294117
sfhx_mtot2times1.4200_q0.7000_id2poles.dat,3171.9447827854046,0.7,1.1694117647058822,1.6705882352941177
sfhx_mtot2times1.4400_q0.7000_id2poles.dat,3162.767110366929,0.7,1.1858823529411764,1.6941176470588235
sfhx_mtot2times1.0000_q0.8000_id2poles.dat,2622.083518604386,0.8,0.8888888888888888,1.1111111111111112
sfhx_mtot2times1.0200_q0.8000_id2poles.dat,2648.4600926062085,0.8,0.9066666666666667,1.1333333333333333
sfhx_mtot2times1.0400_q0.8000_id2poles.dat,2655.230828871492,0.8,0.9244444444444445,1.1555555555555557
sfhx_mtot2times1.0800_q0.8000_id2poles.dat,2690.74482116029,0.8,0.9600000000000001,1.2
sfhx_mtot2times1.1000_q0.8000_id2poles.dat,2710.1786715499784,0.8,0.9777777777777779,1.2222222222222223
sfhx_mtot2times1.1200_q0.8000_id2poles.dat,2728.136909375352,0.8,0.9955555555555556,1.2444444444444445
sfhx_mtot2times1.1400_q0.8000_id2poles.dat,2764.0808931769675,0.8,1.0133333333333332,1.2666666666666666
sfhx_mtot2times1.1600_q0.8000_id2poles.dat,2782.066653202316,0.8,1.031111111111111,1.2888888888888888
sfhx_mtot2times1.1800_q0.8000_id2poles.dat,2836.804059314554,0.8,1.0488888888888888,1.3111111111111111
sfhx_mtot2times1.2000_q0.8000_id2poles.dat,2820.2898874446496,0.8,1.0666666666666667,1.3333333333333333
sfhx_mtot2times1.2200_q0.8000_id2poles.dat,2859.217832369942,0.8,1.0844444444444443,1.3555555555555554
sfhx_mtot2times1.2600_q0.8000_id2poles.dat,2965.974342344794,0.8,1.12,1.4
sfhx_mtot2times1.2800_q0.8000_id2poles.dat,3000.6641007347916,0.8,1.1377777777777778,1.4222222222222223
sfhx_mtot2times1.3000_q0.8000_id2poles.dat,2827.5107503040936,0.8,1.1555555555555557,1.4444444444444444
sfhx_mtot2times1.3200_q0.8000_id2poles.dat,2857.6893837781545,0.8,1.1733333333333333,1.4666666666666668
sfhx_mtot2times1.3400_q0.8000_id2poles.dat,2905.724303293331,0.8,1.1911111111111112,1.488888888888889
sfhx_mtot2times1.3600_q0.8000_id2poles.dat,2998.2891716901017,0.8,1.208888888888889,1.511111111111111
sfhx_mtot2times1.3800_q0.8000_id2poles.dat,3067.0240957961655,0.8,1.2266666666666666,1.5333333333333332
sfhx_mtot2times1.4000_q0.8000_id2poles.dat,3118.167425940615,0.8,1.2444444444444445,1.5555555555555554
sfhx_mtot2times1.4200_q0.8000_id2poles.dat,3206.4174474295005,0.8,1.2622222222222221,1.5777777777777777
sfhx_mtot2times1.4400_q0.8000_id2poles.dat,3274.2655822300953,0.8,1.28,1.5999999999999999
sfhx_mtot2times1.0000_q0.8500_id2poles.dat,2593.9747776420377,0.85,0.9189189189189189,1.081081081081081
sfhx_mtot2times1.0200_q0.8500_id2poles.dat,2490.0036727555607,0.85,0.9372972972972972,1.1027027027027028
sfhx_mtot2times1.0600_q0.8500_id2poles.dat,2657.961481332695,0.85,0.974054054054054,1.145945945945946
sfhx_mtot2times1.0800_q0.8500_id2poles.dat,2581.5196252147834,0.85,0.9924324324324324,1.1675675675675676
sfhx_mtot2times1.1000_q0.8500_id2poles.dat,2720.5890889823086,0.85,1.0108108108108107,1.1891891891891893
sfhx_mtot2times1.1200_q0.8500_id2poles.dat,2651.0484220753397,0.85,1.0291891891891891,1.2108108108108109
sfhx_mtot2times1.1400_q0.8500_id2poles.dat,2669.3769081103146,0.85,1.0475675675675673,1.2324324324324323
sfhx_mtot2times1.1600_q0.8500_id2poles.dat,2683.412267203754,0.85,1.0659459459459457,1.254054054054054
sfhx_mtot2times1.1800_q0.8500_id2poles.dat,2700.2884408772156,0.85,1.0843243243243241,1.2756756756756755
sfhx_mtot2times1.2000_q0.8500_id2poles.dat,2889.8087929483854,0.85,1.1027027027027025,1.2972972972972971
sfhx_mtot2times1.2400_q0.8500_id2poles.dat,2951.441785176021,0.85,1.1394594594594594,1.3405405405405404
sfhx_mtot2times1.2600_q0.8500_id2poles.dat,2797.8563943450704,0.85,1.1578378378378378,1.362162162162162
sfhx_mtot2times1.2800_q0.8500_id2poles.dat,2850.780128376991,0.85,1.1762162162162162,1.3837837837837836
sfhx_mtot2times1.3000_q0.8500_id2poles.dat,3051.134588667361,0.85,1.1945945945945944,1.4054054054054055
sfhx_mtot2times1.3200_q0.8500_id2poles.dat,2929.782644799909,0.85,1.2129729729729728,1.427027027027027
sfhx_mtot2times1.3400_q0.8500_id2poles.dat,3001.2907681398774,0.85,1.2313513513513512,1.4486486486486487
sfhx_mtot2times1.3600_q0.8500_id2poles.dat,3036.8674493607145,0.85,1.2497297297297296,1.4702702702702704
